--- Comparative Analysis of Play Rewards (N=6 to N=8) ---
Reward: Average value of cards seen before the stop decision.
-------------------------------------------------------------------------

[ N = 6 (Total Permutations: 720) ]
-------------------------------------------------------------------------
    Permutation      DP Reward   Baseline Avg
-------------------------------------------------------------------------
[6,7,8,5,2,4,3,1]         6.0000         6.0000
[6,7,8,5,3,1,2,4]         6.0000         6.0000
[6,7,8,5,3,1,4,2]         6.0000         6.0000
[6,7,8,5,3,2,1,4]         6.0000         6.0000
[6,7,8,5,3,2,4,1]         6.0000         6.0000
[6,7,8,5,3,4,1,2]         6.0000         6.0000
[6,7,8,5,3,4,2,1]         6.0000         6.0000
[6,7,8,5,4,1,2,3]         6.0000         6.0000
[6,7,8,5,4,1,3,2]         6.0000         6.0000
[6,7,8,5,4,2,1,3]         6.0000         6.0000
[6,7,8,5,4,2,3,1]         6.0000         6.0000
[6,7,8,5,4,3,1,2]         6.0000         6.0000
[6,7,8,5,4,3,2,1]         6.0000         6.0000
[6,8,1,2,3,4,5,7]         6.0000         6.0000
[6,8,1,2,3,4,7,5]         6.0000         6.0000
[6,8,1,2,3,5,4,7]         6.0000         6.0000
[6,8,1,2,3,5,7,4]         6.0000         6.0000
[6,8,1,2,3,7,4,5]         6.0000         6.0000
[6,8,1,2,3,7,5,4]         6.0000         6.0000
[6,8,1,2,4,3,5,7]         6.0000         6.0000
[6,8,1,2,4,3,7,5]         6.0000         6.0000
[6,8,1,2,4,5,3,7]         6.0000         6.0000
[6,8,1,2,4,5,7,3]         6.0000         6.0000
[6,8,1,2,4,7,3,5]         6.0000         6.0000
[6,8,1,2,4,7,5,3]         6.0000         6.0000
[6,8,1,2,5,3,4,7]         6.0000         6.0000
[6,8,1,2,5,3,7,4]         6.0000         6.0000
[6,8,1,2,5,4,3,7]         6.0000         6.0000
[6,8,1,2,5,4,7,3]         6.0000         6.0000
[6,8,1,2,5,7,3,4]         6.0000         6.0000
[6,8,1,2,5,7,4,3]         6.0000         6.0000
[6,8,1,2,7,3,4,5]         6.0000         6.0000
[6,8,1,2,7,3,5,4]         6.0000         6.0000
[6,8,1,2,7,4,3,5]         6.0000         6.0000
[6,8,1,2,7,4,5,3]         6.0000         6.0000
[6,8,1,2,7,5,3,4]         6.0000         6.0000
[6,8,1,2,7,5,4,3]         6.0000         6.0000
[6,8,1,3,2,4,5,7]         6.0000         6.0000
[6,8,1,3,2,4,7,5]         6.0000         6.0000
[6,8,1,3,2,5,4,7]         6.0000         6.0000
[6,8,1,3,2,5,7,4]         6.0000         6.0000
[6,8,1,3,2,7,4,5]         6.0000         6.0000
[6,8,1,3,2,7,5,4]         6.0000         6.0000
[6,8,1,3,4,2,5,7]         6.0000         6.0000
[6,8,1,3,4,2,7,5]         6.0000         6.0000
[6,8,1,3,4,5,2,7]         6.0000         6.0000
[6,8,1,3,4,5,7,2]         6.0000         6.0000
[6,8,1,3,4,7,2,5]         6.0000         6.0000
[6,8,1,3,4,7,5,2]         6.0000         6.0000
[6,8,1,3,5,2,4,7]         6.0000         6.0000
[6,8,1,3,5,2,7,4]         6.0000         6.0000
[6,8,1,3,5,4,2,7]         6.0000         6.0000
[6,8,1,3,5,4,7,2]         6.0000         6.0000
[6,8,1,3,5,7,2,4]         6.0000         6.0000
[6,8,1,3,5,7,4,2]         6.0000         6.0000
[6,8,1,3,7,2,4,5]         6.0000         6.0000
[6,8,1,3,7,2,5,4]         6.0000         6.0000
[6,8,1,3,7,4,2,5]         6.0000         6.0000
[6,8,1,3,7,4,5,2]         6.0000         6.0000
[6,8,1,3,7,5,2,4]         6.0000         6.0000
[6,8,1,3,7,5,4,2]         6.0000         6.0000
[6,8,1,4,2,3,5,7]         6.0000         6.0000
[6,8,1,4,2,3,7,5]         6.0000         6.0000
[6,8,1,4,2,5,3,7]         6.0000         6.0000
[6,8,1,4,2,5,7,3]         6.0000         6.0000
[6,8,1,4,2,7,3,5]         6.0000         6.0000
[6,8,1,4,2,7,5,3]         6.0000         6.0000
[6,8,1,4,3,2,5,7]         6.0000         6.0000
[6,8,1,4,3,2,7,5]         6.0000         6.0000
[6,8,1,4,3,5,2,7]         6.0000         6.0000
[6,8,1,4,3,5,7,2]         6.0000         6.0000
[6,8,1,4,3,7,2,5]         6.0000         6.0000
[6,8,1,4,3,7,5,2]         6.0000         6.0000
[6,8,1,4,5,2,3,7]         6.0000         6.0000
[6,8,1,4,5,2,7,3]         6.0000         6.0000
[6,8,1,4,5,3,2,7]         6.0000         6.0000
[6,8,1,4,5,3,7,2]         6.0000         6.0000
[6,8,1,4,5,7,2,3]         6.0000         6.0000
[6,8,1,4,5,7,3,2]         6.0000         6.0000
[6,8,1,4,7,2,3,5]         6.0000         6.0000
[6,8,1,4,7,2,5,3]         6.0000         6.0000
[6,8,1,4,7,3,2,5]         6.0000         6.0000
[6,8,1,4,7,3,5,2]         6.0000         6.0000
[6,8,1,4,7,5,2,3]         6.0000         6.0000
[6,8,1,4,7,5,3,2]         6.0000         6.0000
[6,8,1,5,2,3,4,7]         6.0000         6.0000
[6,8,1,5,2,3,7,4]         6.0000         6.0000
[6,8,1,5,2,4,3,7]         6.0000         6.0000
[6,8,1,5,2,4,7,3]         6.0000         6.0000
[6,8,1,5,2,7,3,4]         6.0000         6.0000
[6,8,1,5,2,7,4,3]         6.0000         6.0000
[6,8,1,5,3,2,4,7]         6.0000         6.0000
[6,8,1,5,3,2,7,4]         6.0000         6.0000
[6,8,1,5,3,4,2,7]         6.0000         6.0000
[6,8,1,5,3,4,7,2]         6.0000         6.0000
[6,8,1,5,3,7,2,4]         6.0000         6.0000
[6,8,1,5,3,7,4,2]         6.0000         6.0000
[6,8,1,5,4,2,3,7]         6.0000         6.0000
[6,8,1,5,4,2,7,3]         6.0000         6.0000
[6,8,1,5,4,3,2,7]         6.0000         6.0000
[6,8,1,5,4,3,7,2]         6.0000         6.0000
[6,8,1,5,4,7,2,3]         6.0000         6.0000
[6,8,1,5,4,7,3,2]         6.0000         6.0000
[6,8,1,5,7,2,3,4]         6.0000         6.0000
[6,8,1,5,7,2,4,3]         6.0000         6.0000
[6,8,1,5,7,3,2,4]         6.0000         6.0000
[6,8,1,5,7,3,4,2]         6.0000         6.0000
[6,8,1,5,7,4,2,3]         6.0000         6.0000
[6,8,1,5,7,4,3,2]         6.0000         6.0000
[6,8,1,7,2,3,4,5]         6.0000         6.0000
[6,8,1,7,2,3,5,4]         6.0000         6.0000
[6,8,1,7,2,4,3,5]         6.0000         6.0000
[6,8,1,7,2,4,5,3]         6.0000         6.0000
[6,8,1,7,2,5,3,4]         6.0000         6.0000
[6,8,1,7,2,5,4,3]         6.0000         6.0000
[6,8,1,7,3,2,4,5]         6.0000         6.0000
[6,8,1,7,3,2,5,4]         6.0000         6.0000
[6,8,1,7,3,4,2,5]         6.0000         6.0000
[6,8,1,7,3,4,5,2]         6.0000         6.0000
[6,8,1,7,3,5,2,4]         6.0000         6.0000
[6,8,1,7,3,5,4,2]         6.0000         6.0000
[6,8,1,7,4,2,3,5]         6.0000         6.0000
[6,8,1,7,4,2,5,3]         6.0000         6.0000
[6,8,1,7,4,3,2,5]         6.0000         6.0000
[6,8,1,7,4,3,5,2]         6.0000         6.0000
[6,8,1,7,4,5,2,3]         6.0000         6.0000
[6,8,1,7,4,5,3,2]         6.0000         6.0000
[6,8,1,7,5,2,3,4]         6.0000         6.0000
[6,8,1,7,5,2,4,3]         6.0000         6.0000
[6,8,1,7,5,3,2,4]         6.0000         6.0000
[6,8,1,7,5,3,4,2]         6.0000         6.0000
[6,8,1,7,5,4,2,3]         6.0000         6.0000
[6,8,1,7,5,4,3,2]         6.0000         6.0000
[6,8,2,1,3,4,5,7]         6.0000         6.0000
[6,8,2,1,3,4,7,5]         6.0000         6.0000
[6,8,2,1,3,5,4,7]         6.0000         6.0000
[6,8,2,1,3,5,7,4]         6.0000         6.0000
[6,8,2,1,3,7,4,5]         6.0000         6.0000
[6,8,2,1,3,7,5,4]         6.0000         6.0000
[6,8,2,1,4,3,5,7]         6.0000         6.0000
[6,8,2,1,4,3,7,5]         6.0000         6.0000
[6,8,2,1,4,5,3,7]         6.0000         6.0000
[6,8,2,1,4,5,7,3]         6.0000         6.0000
[6,8,2,1,4,7,3,5]         6.0000         6.0000
[6,8,2,1,4,7,5,3]         6.0000         6.0000
[6,8,2,1,5,3,4,7]         6.0000         6.0000
[6,8,2,1,5,3,7,4]         6.0000         6.0000
[6,8,2,1,5,4,3,7]         6.0000         6.0000
[6,8,2,1,5,4,7,3]         6.0000         6.0000
[6,8,2,1,5,7,3,4]         6.0000         6.0000
[6,8,2,1,5,7,4,3]         6.0000         6.0000
[6,8,2,1,7,3,4,5]         6.0000         6.0000
[6,8,2,1,7,3,5,4]         6.0000         6.0000
[6,8,2,1,7,4,3,5]         6.0000         6.0000
[6,8,2,1,7,4,5,3]         6.0000         6.0000
[6,8,2,1,7,5,3,4]         6.0000         6.0000
[6,8,2,1,7,5,4,3]         6.0000         6.0000
[6,8,2,3,1,4,5,7]         6.0000         6.0000
[6,8,2,3,1,4,7,5]         6.0000         6.0000
[6,8,2,3,1,5,4,7]         6.0000         6.0000
[6,8,2,3,1,5,7,4]         6.0000         6.0000
[6,8,2,3,1,7,4,5]         6.0000         6.0000
[6,8,2,3,1,7,5,4]         6.0000         6.0000
[6,8,2,3,4,1,5,7]         6.0000         6.0000
[6,8,2,3,4,1,7,5]         6.0000         6.0000
[6,8,2,3,4,5,1,7]         6.0000         6.0000
[6,8,2,3,4,5,7,1]         6.0000         6.0000
[6,8,2,3,4,7,1,5]         6.0000         6.0000
[6,8,2,3,4,7,5,1]         6.0000         6.0000
[6,8,2,3,5,1,4,7]         6.0000         6.0000
[6,8,2,3,5,1,7,4]         6.0000         6.0000
[6,8,2,3,5,4,1,7]         6.0000         6.0000
[6,8,2,3,5,4,7,1]         6.0000         6.0000
[6,8,2,3,5,7,1,4]         6.0000         6.0000
[6,8,2,3,5,7,4,1]         6.0000         6.0000
[6,8,2,3,7,1,4,5]         6.0000         6.0000
[6,8,2,3,7,1,5,4]         6.0000         6.0000
[6,8,2,3,7,4,1,5]         6.0000         6.0000
[6,8,2,3,7,4,5,1]         6.0000         6.0000
[6,8,2,3,7,5,1,4]         6.0000         6.0000
[6,8,2,3,7,5,4,1]         6.0000         6.0000
[6,8,2,4,1,3,5,7]         6.0000         6.0000
[6,8,2,4,1,3,7,5]         6.0000         6.0000
[6,8,2,4,1,5,3,7]         6.0000         6.0000
[6,8,2,4,1,5,7,3]         6.0000         6.0000
[6,8,2,4,1,7,3,5]         6.0000         6.0000
[6,8,2,4,1,7,5,3]         6.0000         6.0000
[6,8,2,4,3,1,5,7]         6.0000         6.0000
[6,8,2,4,3,1,7,5]         6.0000         6.0000
[6,8,2,4,3,5,1,7]         6.0000         6.0000
[6,8,2,4,3,5,7,1]         6.0000         6.0000
[6,8,2,4,3,7,1,5]         6.0000         6.0000
[6,8,2,4,3,7,5,1]         6.0000         6.0000
[6,8,2,4,5,1,3,7]         6.0000         6.0000
[6,8,2,4,5,1,7,3]         6.0000         6.0000
[6,8,2,4,5,3,1,7]         6.0000         6.0000
[6,8,2,4,5,3,7,1]         6.0000         6.0000
[6,8,2,4,5,7,1,3]         6.0000         6.0000
[6,8,2,4,5,7,3,1]         6.0000         6.0000
[6,8,2,4,7,1,3,5]         6.0000         6.0000
[6,8,2,4,7,1,5,3]         6.0000         6.0000
[6,8,2,4,7,3,1,5]         6.0000         6.0000
[6,8,2,4,7,3,5,1]         6.0000         6.0000
[6,8,2,4,7,5,1,3]         6.0000         6.0000
[6,8,2,4,7,5,3,1]         6.0000         6.0000
[6,8,2,5,1,3,4,7]         6.0000         6.0000
[6,8,2,5,1,3,7,4]         6.0000         6.0000
[6,8,2,5,1,4,3,7]         6.0000         6.0000
[6,8,2,5,1,4,7,3]         6.0000         6.0000
[6,8,2,5,1,7,3,4]         6.0000         6.0000
[6,8,2,5,1,7,4,3]         6.0000         6.0000
[6,8,2,5,3,1,4,7]         6.0000         6.0000
[6,8,2,5,3,1,7,4]         6.0000         6.0000
[6,8,2,5,3,4,1,7]         6.0000         6.0000
[6,8,2,5,3,4,7,1]         6.0000         6.0000
[6,8,2,5,3,7,1,4]         6.0000         6.0000
[6,8,2,5,3,7,4,1]         6.0000         6.0000
[6,8,2,5,4,1,3,7]         6.0000         6.0000
[6,8,2,5,4,1,7,3]         6.0000         6.0000
[6,8,2,5,4,3,1,7]         6.0000         6.0000
[6,8,2,5,4,3,7,1]         6.0000         6.0000
[6,8,2,5,4,7,1,3]         6.0000         6.0000
[6,8,2,5,4,7,3,1]         6.0000         6.0000
[6,8,2,5,7,1,3,4]         6.0000         6.0000
[6,8,2,5,7,1,4,3]         6.0000         6.0000
[6,8,2,5,7,3,1,4]         6.0000         6.0000
[6,8,2,5,7,3,4,1]         6.0000         6.0000
[6,8,2,5,7,4,1,3]         6.0000         6.0000
[6,8,2,5,7,4,3,1]         6.0000         6.0000
[6,8,2,7,1,3,4,5]         6.0000         6.0000
[6,8,2,7,1,3,5,4]         6.0000         6.0000
[6,8,2,7,1,4,3,5]         6.0000         6.0000
[6,8,2,7,1,4,5,3]         6.0000         6.0000
[6,8,2,7,1,5,3,4]         6.0000         6.0000
[6,8,2,7,1,5,4,3]         6.0000         6.0000
[6,8,2,7,3,1,4,5]         6.0000         6.0000
[6,8,2,7,3,1,5,4]         6.0000         6.0000
[6,8,2,7,3,4,1,5]         6.0000         6.0000
[6,8,2,7,3,4,5,1]         6.0000         6.0000
[6,8,2,7,3,5,1,4]         6.0000         6.0000
[6,8,2,7,3,5,4,1]         6.0000         6.0000
[6,8,2,7,4,1,3,5]         6.0000         6.0000
[6,8,2,7,4,1,5,3]         6.0000         6.0000
[6,8,2,7,4,3,1,5]         6.0000         6.0000
[6,8,2,7,4,3,5,1]         6.0000         6.0000
[6,8,2,7,4,5,1,3]         6.0000         6.0000
[6,8,2,7,4,5,3,1]         6.0000         6.0000
[6,8,2,7,5,1,3,4]         6.0000         6.0000
[6,8,2,7,5,1,4,3]         6.0000         6.0000
[6,8,2,7,5,3,1,4]         6.0000         6.0000
[6,8,2,7,5,3,4,1]         6.0000         6.0000
[6,8,2,7,5,4,1,3]         6.0000         6.0000
[6,8,2,7,5,4,3,1]         6.0000         6.0000
[6,8,3,1,2,4,5,7]         6.0000         6.0000
[6,8,3,1,2,4,7,5]         6.0000         6.0000
[6,8,3,1,2,5,4,7]         6.0000         6.0000
[6,8,3,1,2,5,7,4]         6.0000         6.0000
[6,8,3,1,2,7,4,5]         6.0000         6.0000
[6,8,3,1,2,7,5,4]         6.0000         6.0000
[6,8,3,1,4,2,5,7]         6.0000         6.0000
[6,8,3,1,4,2,7,5]         6.0000         6.0000
[6,8,3,1,4,5,2,7]         6.0000         6.0000
[6,8,3,1,4,5,7,2]         6.0000         6.0000
[6,8,3,1,4,7,2,5]         6.0000         6.0000
[6,8,3,1,4,7,5,2]         6.0000         6.0000
[6,8,3,1,5,2,4,7]         6.0000         6.0000
[6,8,3,1,5,2,7,4]         6.0000         6.0000
[6,8,3,1,5,4,2,7]         6.0000         6.0000
[6,8,3,1,5,4,7,2]         6.0000         6.0000
[6,8,3,1,5,7,2,4]         6.0000         6.0000
[6,8,3,1,5,7,4,2]         6.0000         6.0000
[6,8,3,1,7,2,4,5]         6.0000         6.0000
[6,8,3,1,7,2,5,4]         6.0000         6.0000
[6,8,3,1,7,4,2,5]         6.0000         6.0000
[6,8,3,1,7,4,5,2]         6.0000         6.0000
[6,8,3,1,7,5,2,4]         6.0000         6.0000
[6,8,3,1,7,5,4,2]         6.0000         6.0000
[6,8,3,2,1,4,5,7]         6.0000         6.0000
[6,8,3,2,1,4,7,5]         6.0000         6.0000
[6,8,3,2,1,5,4,7]         6.0000         6.0000
[6,8,3,2,1,5,7,4]         6.0000         6.0000
[6,8,3,2,1,7,4,5]         6.0000         6.0000
[6,8,3,2,1,7,5,4]         6.0000         6.0000
[6,8,3,2,4,1,5,7]         6.0000         6.0000
[6,8,3,2,4,1,7,5]         6.0000         6.0000
[6,8,3,2,4,5,1,7]         6.0000         6.0000
[6,8,3,2,4,5,7,1]         6.0000         6.0000
[6,8,3,2,4,7,1,5]         6.0000         6.0000
[6,8,3,2,4,7,5,1]         6.0000         6.0000
[6,8,3,2,5,1,4,7]         6.0000         6.0000
[6,8,3,2,5,1,7,4]         6.0000         6.0000
[6,8,3,2,5,4,1,7]         6.0000         6.0000
[6,8,3,2,5,4,7,1]         6.0000         6.0000
[6,8,3,2,5,7,1,4]         6.0000         6.0000
[6,8,3,2,5,7,4,1]         6.0000         6.0000
[6,8,3,2,7,1,4,5]         6.0000         6.0000
[6,8,3,2,7,1,5,4]         6.0000         6.0000
[6,8,3,2,7,4,1,5]         6.0000         6.0000
[6,8,3,2,7,4,5,1]         6.0000         6.0000
[6,8,3,2,7,5,1,4]         6.0000         6.0000
[6,8,3,2,7,5,4,1]         6.0000         6.0000
[6,8,3,4,1,2,5,7]         6.0000         6.0000
[6,8,3,4,1,2,7,5]         6.0000         6.0000
[6,8,3,4,1,5,2,7]         6.0000         6.0000
[6,8,3,4,1,5,7,2]         6.0000         6.0000
[6,8,3,4,1,7,2,5]         6.0000         6.0000
[6,8,3,4,1,7,5,2]         6.0000         6.0000
[6,8,3,4,2,1,5,7]         6.0000         6.0000
[6,8,3,4,2,1,7,5]         6.0000         6.0000
[6,8,3,4,2,5,1,7]         6.0000         6.0000
[6,8,3,4,2,5,7,1]         6.0000         6.0000
[6,8,3,4,2,7,1,5]         6.0000         6.0000
[6,8,3,4,2,7,5,1]         6.0000         6.0000
[6,8,3,4,5,1,2,7]         6.0000         6.0000
[6,8,3,4,5,1,7,2]         6.0000         6.0000
[6,8,3,4,5,2,1,7]         6.0000         6.0000
[6,8,3,4,5,2,7,1]         6.0000         6.0000
[6,8,3,4,5,7,1,2]         6.0000         6.0000
[6,8,3,4,5,7,2,1]         6.0000         6.0000
[6,8,3,4,7,1,2,5]         6.0000         6.0000
[6,8,3,4,7,1,5,2]         6.0000         6.0000
[6,8,3,4,7,2,1,5]         6.0000         6.0000
[6,8,3,4,7,2,5,1]         6.0000         6.0000
[6,8,3,4,7,5,1,2]         6.0000         6.0000
[6,8,3,4,7,5,2,1]         6.0000         6.0000
[6,8,3,5,1,2,4,7]         6.0000         6.0000
[6,8,3,5,1,2,7,4]         6.0000         6.0000
[6,8,3,5,1,4,2,7]         6.0000         6.0000
[6,8,3,5,1,4,7,2]         6.0000         6.0000
[6,8,3,5,1,7,2,4]         6.0000         6.0000
[6,8,3,5,1,7,4,2]         6.0000         6.0000
[6,8,3,5,2,1,4,7]         6.0000         6.0000
[6,8,3,5,2,1,7,4]         6.0000         6.0000
[6,8,3,5,2,4,1,7]         6.0000         6.0000
[6,8,3,5,2,4,7,1]         6.0000         6.0000
[6,8,3,5,2,7,1,4]         6.0000         6.0000
[6,8,3,5,2,7,4,1]         6.0000         6.0000
[6,8,3,5,4,1,2,7]         6.0000         6.0000
[6,8,3,5,4,1,7,2]         6.0000         6.0000
[6,8,3,5,4,2,1,7]         6.0000         6.0000
[6,8,3,5,4,2,7,1]         6.0000         6.0000
[6,8,3,5,4,7,1,2]         6.0000         6.0000
[6,8,3,5,4,7,2,1]         6.0000         6.0000
[6,8,3,5,7,1,2,4]         6.0000         6.0000
[6,8,3,5,7,1,4,2]         6.0000         6.0000
[6,8,3,5,7,2,1,4]         6.0000         6.0000
[6,8,3,5,7,2,4,1]         6.0000         6.0000
[6,8,3,5,7,4,1,2]         6.0000         6.0000
[6,8,3,5,7,4,2,1]         6.0000         6.0000
[6,8,3,7,1,2,4,5]         6.0000         6.0000
[6,8,3,7,1,2,5,4]         6.0000         6.0000
[6,8,3,7,1,4,2,5]         6.0000         6.0000
[6,8,3,7,1,4,5,2]         6.0000         6.0000
[6,8,3,7,1,5,2,4]         6.0000         6.0000
[6,8,3,7,1,5,4,2]         6.0000         6.0000
[6,8,3,7,2,1,4,5]         6.0000         6.0000
[6,8,3,7,2,1,5,4]         6.0000         6.0000
[6,8,3,7,2,4,1,5]         6.0000         6.0000
[6,8,3,7,2,4,5,1]         6.0000         6.0000
[6,8,3,7,2,5,1,4]         6.0000         6.0000
[6,8,3,7,2,5,4,1]         6.0000         6.0000
[6,8,3,7,4,1,2,5]         6.0000         6.0000
[6,8,3,7,4,1,5,2]         6.0000         6.0000
[6,8,3,7,4,2,1,5]         6.0000         6.0000
[6,8,3,7,4,2,5,1]         6.0000         6.0000
[6,8,3,7,4,5,1,2]         6.0000         6.0000
[6,8,3,7,4,5,2,1]         6.0000         6.0000
[6,8,3,7,5,1,2,4]         6.0000         6.0000
[6,8,3,7,5,1,4,2]         6.0000         6.0000
[6,8,3,7,5,2,1,4]         6.0000         6.0000
[6,8,3,7,5,2,4,1]         6.0000         6.0000
[6,8,3,7,5,4,1,2]         6.0000         6.0000
[6,8,3,7,5,4,2,1]         6.0000         6.0000
[6,8,4,1,2,3,5,7]         6.0000         6.0000
[6,8,4,1,2,3,7,5]         6.0000         6.0000
[6,8,4,1,2,5,3,7]         6.0000         6.0000
[6,8,4,1,2,5,7,3]         6.0000         6.0000
[6,8,4,1,2,7,3,5]         6.0000         6.0000
[6,8,4,1,2,7,5,3]         6.0000         6.0000
[6,8,4,1,3,2,5,7]         6.0000         6.0000
[6,8,4,1,3,2,7,5]         6.0000         6.0000
[6,8,4,1,3,5,2,7]         6.0000         6.0000
[6,8,4,1,3,5,7,2]         6.0000         6.0000
[6,8,4,1,3,7,2,5]         6.0000         6.0000
[6,8,4,1,3,7,5,2]         6.0000         6.0000
[6,8,4,1,5,2,3,7]         6.0000         6.0000
[6,8,4,1,5,2,7,3]         6.0000         6.0000
[6,8,4,1,5,3,2,7]         6.0000         6.0000
[6,8,4,1,5,3,7,2]         6.0000         6.0000
[6,8,4,1,5,7,2,3]         6.0000         6.0000
[6,8,4,1,5,7,3,2]         6.0000         6.0000
[6,8,4,1,7,2,3,5]         6.0000         6.0000
[6,8,4,1,7,2,5,3]         6.0000         6.0000
[6,8,4,1,7,3,2,5]         6.0000         6.0000
[6,8,4,1,7,3,5,2]         6.0000         6.0000
[6,8,4,1,7,5,2,3]         6.0000         6.0000
[6,8,4,1,7,5,3,2]         6.0000         6.0000
[6,8,4,2,1,3,5,7]         6.0000         6.0000
[6,8,4,2,1,3,7,5]         6.0000         6.0000
[6,8,4,2,1,5,3,7]         6.0000         6.0000
[6,8,4,2,1,5,7,3]         6.0000         6.0000
[6,8,4,2,1,7,3,5]         6.0000         6.0000
[6,8,4,2,1,7,5,3]         6.0000         6.0000
[6,8,4,2,3,1,5,7]         6.0000         6.0000
[6,8,4,2,3,1,7,5]         6.0000         6.0000
[6,8,4,2,3,5,1,7]         6.0000         6.0000
[6,8,4,2,3,5,7,1]         6.0000         6.0000
[6,8,4,2,3,7,1,5]         6.0000         6.0000
[6,8,4,2,3,7,5,1]         6.0000         6.0000
[6,8,4,2,5,1,3,7]         6.0000         6.0000
[6,8,4,2,5,1,7,3]         6.0000         6.0000
[6,8,4,2,5,3,1,7]         6.0000         6.0000
[6,8,4,2,5,3,7,1]         6.0000         6.0000
[6,8,4,2,5,7,1,3]         6.0000         6.0000
[6,8,4,2,5,7,3,1]         6.0000         6.0000
[6,8,4,2,7,1,3,5]         6.0000         6.0000
[6,8,4,2,7,1,5,3]         6.0000         6.0000
[6,8,4,2,7,3,1,5]         6.0000         6.0000
[6,8,4,2,7,3,5,1]         6.0000         6.0000
[6,8,4,2,7,5,1,3]         6.0000         6.0000
[6,8,4,2,7,5,3,1]         6.0000         6.0000
[6,8,4,3,1,2,5,7]         6.0000         6.0000
[6,8,4,3,1,2,7,5]         6.0000         6.0000
[6,8,4,3,1,5,2,7]         6.0000         6.0000
[6,8,4,3,1,5,7,2]         6.0000         6.0000
[6,8,4,3,1,7,2,5]         6.0000         6.0000
[6,8,4,3,1,7,5,2]         6.0000         6.0000
[6,8,4,3,2,1,5,7]         6.0000         6.0000
[6,8,4,3,2,1,7,5]         6.0000         6.0000
[6,8,4,3,2,5,1,7]         6.0000         6.0000
[6,8,4,3,2,5,7,1]         6.0000         6.0000
[6,8,4,3,2,7,1,5]         6.0000         6.0000
[6,8,4,3,2,7,5,1]         6.0000         6.0000
[6,8,4,3,5,1,2,7]         6.0000         6.0000
[6,8,4,3,5,1,7,2]         6.0000         6.0000
[6,8,4,3,5,2,1,7]         6.0000         6.0000
[6,8,4,3,5,2,7,1]         6.0000         6.0000
[6,8,4,3,5,7,1,2]         6.0000         6.0000
[6,8,4,3,5,7,2,1]         6.0000         6.0000
[6,8,4,3,7,1,2,5]         6.0000         6.0000
[6,8,4,3,7,1,5,2]         6.0000         6.0000
[6,8,4,3,7,2,1,5]         6.0000         6.0000
[6,8,4,3,7,2,5,1]         6.0000         6.0000
[6,8,4,3,7,5,1,2]         6.0000         6.0000
[6,8,4,3,7,5,2,1]         6.0000         6.0000
[6,8,4,5,1,2,3,7]         6.0000         6.0000
[6,8,4,5,1,2,7,3]         6.0000         6.0000
[6,8,4,5,1,3,2,7]         6.0000         6.0000
[6,8,4,5,1,3,7,2]         6.0000         6.0000
[6,8,4,5,1,7,2,3]         6.0000         6.0000
[6,8,4,5,1,7,3,2]         6.0000         6.0000
[6,8,4,5,2,1,3,7]         6.0000         6.0000
[6,8,4,5,2,1,7,3]         6.0000         6.0000
[6,8,4,5,2,3,1,7]         6.0000         6.0000
[6,8,4,5,2,3,7,1]         6.0000         6.0000
[6,8,4,5,2,7,1,3]         6.0000         6.0000
[6,8,4,5,2,7,3,1]         6.0000         6.0000
[6,8,4,5,3,1,2,7]         6.0000         6.0000
[6,8,4,5,3,1,7,2]         6.0000         6.0000
[6,8,4,5,3,2,1,7]         6.0000         6.0000
[6,8,4,5,3,2,7,1]         6.0000         6.0000
[6,8,4,5,3,7,1,2]         6.0000         6.0000
[6,8,4,5,3,7,2,1]         6.0000         6.0000
[6,8,4,5,7,1,2,3]         6.0000         6.0000
[6,8,4,5,7,1,3,2]         6.0000         6.0000
[6,8,4,5,7,2,1,3]         6.0000         6.0000
[6,8,4,5,7,2,3,1]         6.0000         6.0000
[6,8,4,5,7,3,1,2]         6.0000         6.0000
[6,8,4,5,7,3,2,1]         6.0000         6.0000
[6,8,4,7,1,2,3,5]         6.0000         6.0000
[6,8,4,7,1,2,5,3]         6.0000         6.0000
[6,8,4,7,1,3,2,5]         6.0000         6.0000
[6,8,4,7,1,3,5,2]         6.0000         6.0000
[6,8,4,7,1,5,2,3]         6.0000         6.0000
[6,8,4,7,1,5,3,2]         6.0000         6.0000
[6,8,4,7,2,1,3,5]         6.0000         6.0000
[6,8,4,7,2,1,5,3]         6.0000         6.0000
[6,8,4,7,2,3,1,5]         6.0000         6.0000
[6,8,4,7,2,3,5,1]         6.0000         6.0000
[6,8,4,7,2,5,1,3]         6.0000         6.0000
[6,8,4,7,2,5,3,1]         6.0000         6.0000
[6,8,4,7,3,1,2,5]         6.0000         6.0000
[6,8,4,7,3,1,5,2]         6.0000         6.0000
[6,8,4,7,3,2,1,5]         6.0000         6.0000
[6,8,4,7,3,2,5,1]         6.0000         6.0000
[6,8,4,7,3,5,1,2]         6.0000         6.0000
[6,8,4,7,3,5,2,1]         6.0000         6.0000
[6,8,4,7,5,1,2,3]         6.0000         6.0000
[6,8,4,7,5,1,3,2]         6.0000         6.0000
[6,8,4,7,5,2,1,3]         6.0000         6.0000
[6,8,4,7,5,2,3,1]         6.0000         6.0000
[6,8,4,7,5,3,1,2]         6.0000         6.0000
[6,8,4,7,5,3,2,1]         6.0000         6.0000
[6,8,5,1,2,3,4,7]         6.0000         6.0000
[6,8,5,1,2,3,7,4]         6.0000         6.0000
